id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,edu_status,income,political,floor_area,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,son,daughter,minor_child,marital,marital_1st,s_birth,s_edu,s_political,s_hukou,s_work_exper,f_edu,f_political,f_work_14,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,F,Z,q
11,3,1,6,15,31,2015/8/9 19:12,2,28,1,1,1,6,4,24000,1,200,0,1,1,0,0,0,0,0,0,165,100,4,4,5,1,2,2,1,1,5,5,1,1,3,3,4,4,4,3,3,4,5,5,1,3,3,1,2,3,2,4,4,3,4,3,5,2,1,2,2,60000,5,3,1,2,0,1,0,0,0,0,0,0,0,0,2,2,3,2,27,5,1,1,1,1,1,2,1,1,2,2,2,4,2,50000,3,4,4,4,4,4,3,4,5,5,3,4,78,80,80,80,80,79,81,80,80,1,0,1
12,3,2,23,69,109,2015/9/23 19:12,1,48,1,0,3,1,1,8000,1,199,0,1,1,1,0,0,0,0,0,173,120,4,2,2,1,1,1,1,5,5,1,2,1,4,2,5,5,5,5,5,5,4,4,5,4,4,1,5,5,1,2,6,6,7,5,4,1,2,2,2,16500,3,3,3,2,0,1,0,0,0,0,0,0,0,0,2,1,3,26,46,1,1,1,4,10,1,2,1,1,2,3,1,4,2,40000,5,5,5,3,5,4,3,3,3,3,1,5,100,20,60,70,60,80,62,52,75,0,1,-2
13,3,1,21,64,100,2015/7/18 9:33,1,52,1,1,3,10,4,36000,4,80,0,1,1,0,0,1,0,0,0,171,120,4,5,4,2,1,4,3,2,4,4,1,1,5,4,1,5,4,4,3,1,5,5,1,2,3,3,5,5,1,3,4,4,5,4,1,1,1,2,2,36000,2,2,1,2,0,1,0,0,0,0,0,0,0,0,1,0,3,26,49,7,1,2,5,3,4,1,1,1,1,2,1,5,2,50000,2,3,4,4,4,3,2,3,3,4,1,4,80,80,70,70,70,70,70,70,60,0,1,-3
14,1,1,4,7,14,2015/10/18 16:03,2,77,1,1,1,3,2,40000,1,56,0,1,0,0,0,0,0,0,0,156,115,1,1,1,5,1,1,1,1,2,1,1,4,5,5,5,5,5,5,5,5,5,5,5,1,2,1,3,3,1,3,1,7,1,4,5,1,1,2,2,90000,2,3,1,2,0,1,0,0,0,0,0,0,0,0,4,0,3,59,76,4,4,5,5,1,1,2,1,1,2,2,3,3,2,40000,2,2,4,4,4,4,4,4,4,4,2,3,80,70,70,65,70,60,80,80,70,-6,0,1
15,3,2,15,41,72,2015/7/15 15:05,2,81,1,0,4,1,1,1000,1,40,0,0,1,0,0,0,0,0,0,136,65,1,4,4,1,1,1,1,1,1,1,1,5,5,5,5,5,5,4,5,5,5,5,5,3,1,1,5,3,1,5,2,1,3,3,4,1,1,2,2,30000,4,3,1,2,0,1,0,0,0,0,0,0,0,0,1,0,3,56,80,1,1,1,4,3,1,2,1,1,2,3,2,3,2,50000,4,2,2,3,3,3,3,3,3,3,2,5,80,80,70,70,70,70,80,70,80,1,1,1
16,3,2,29,82,124,2015/7/22 14:46,1,33,1,1,1,4,2,45000,1,120,0,0,0,0,1,0,0,0,0,185,185,4,5,3,1,1,2,2,2,5,5,1,2,4,4,4,5,5,5,1,5,5,5,1,3,4,1,5,7,1,4,6,3,5,5,1,1,1,1,2,50000,5,3,1,2,0,1,0,0,0,0,0,0,0,1,0,1,3,3,29,4,1,1,1,1,1,2,3,1,15,2,1,5,2,60000,4,2,2,2,4,4,2,4,2,2,2,5,100,100,100,100,60,100,100,60,70,3,-1,-4
17,3,1,6,16,32,2015/8/10 10:41,2,42,1,0,4,4,4,0,2,63,0,1,1,0,0,0,0,0,0,162,120,2,3,3,1,3,2,2,2,4,4,3,1,3,4,4,4,3,4,2,4,4,5,2,2,4,2,6,3,1,2,5,4,6,3,5,1,2,2,2,36000,3,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,16,39,5,1,2,1,3,1,2,1,1,2,2,2,3,2,20000,3,3,3,3,5,4,2,3,3,3,1,2,80,70,70,80,70,60,70,80,80,1,1,3
18,3,2,31,87,131,2015/8/17 9:52,2,54,1,0,8,6,4,0,1,90,0,1,1,0,0,0,0,0,0,155,90,2,2,3,1,1,2,2,3,5,1,1,1,5,3,4,4,3,3,5,4,3,5,5,3,4,2,1,2,2,2,1,1,1,1,3,1,1,1,1,20000,1,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,3,31,56,4,1,1,3,4,1,2,3,1,2,2,1,4,2,50000,4,4,4,4,4,4,4,4,4,4,1,5,50,50,50,50,50,50,30,40,50,0,0,-2
19,3,1,4,7,16,2015/10/18 10:28,1,40,1,1,1,7,4,100000,1,77,0,1,0,0,0,0,0,0,0,170,135,5,5,5,4,3,4,4,4,4,4,4,2,3,2,3,3,3,2,2,3,3,3,2,3,3,3,4,4,4,4,6,6,5,4,1,1,1,2,2,200000,5,3,1,1,0,0,1,0,0,0,0,0,0,1,0,1,3,10,36,7,1,5,1,4,1,1,1,1,2,2,2,3,2,10000000,4,3,3,4,3,3,4,4,3,3,4,4,80,70,70,70,70,70,70,70,70,0,-1,-4
20,4,1,4,7,22,2015/9/11 9:54,1,51,1,1,1,4,4,100000,4,91,0,0,1,0,0,0,0,0,0,175,160,5,5,5,2,1,4,2,5,4,4,4,1,4,3,1,4,3,3,1,1,2,5,1,4,4,4,5,3,3,4,6,5,6,3,1,1,1,2,2,100000,4,3,2,1,0,1,0,0,0,0,0,0,0,1,1,0,3,30,53,4,1,2,4,3,1,1,4,1,2,2,1,3,2,120000,4,4,5,5,5,5,4,5,4,4,1,5,60,50,40,50,50,80,80,80,80,1,0,2
21,3,1,27,79,119,2015/7/25 9:34,1,65,3,1,1,4,4,25000,1,71,0,0,1,0,0,0,0,0,0,165,130,2,2,3,2,1,2,2,2,5,1,1,1,4,4,4,5,5,5,2,1,5,5,5,3,4,1,1,5,1,2,3,3,3,3,5,1,1,2,2,80000,5,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,40,63,4,1,2,5,2,4,1,2,1,1,2,2,5,2,60000,2,1,4,4,5,4,2,3,2,5,1,4,50,50,60,50,60,60,50,50,50,0,0,-2
22,4,2,9,21,43,2015/7/5 8:08,2,68,1,1,1,1,1,2000,1,100,0,0,1,0,0,0,0,0,0,160,120,1,2,2,1,1,1,1,1,4,1,1,1,5,3,5,5,3,5,5,5,5,5,5,2,3,1,3,7,2,4,1,1,4,1,4,1,1,2,2,20000,6,3,1,1,0,1,0,0,0,0,0,0,0,1,3,0,3,46,67,3,1,1,3,1,1,2,1,1,2,3,3,4,2,1000,4,4,4,4,4,4,4,4,4,3,3,5,100,100,100,100,100,100,100,100,100,0,3,1
23,3,1,21,62,98,2015/7/18 10:53,2,36,1,1,1,3,4,5000,1,220,0,0,0,0,0,1,0,0,0,154,90,4,4,3,1,2,1,1,1,2,1,1,2,5,2,5,5,3,3,4,5,5,5,5,4,3,1,1,2,1,4,5,4,6,1,4,1,1,2,2,40000,5,2,1,2,0,1,0,0,0,0,0,0,0,1,1,2,3,13,34,4,1,1,3,3,1,2,1,1,15,2,2,4,3,50000,5,4,4,4,4,4,3,5,5,3,1,3,60,70,50,50,60,40,60,40,70,1,1,2
24,3,1,19,57,92,2015/7/17 10:01,1,74,1,1,1,6,2,48000,1,80,0,0,0,0,0,0,0,0,1,172,120,3,3,3,4,1,2,2,2,5,2,2,1,5,5,4,5,4,4,5,2,5,5,5,2,4,1,5,5,1,4,7,5,7,3,5,1,1,2,2,48000,1,3,0,2,0,1,0,0,0,0,0,0,0,1,1,0,3,49,70,4,1,5,5,1,1,2,1,1,2,1,1,3,2,50000,2,2,2,2,4,3,2,2,2,3,2,2,80,85,70,90,70,75,90,90,90,2,0,-4
25,3,1,12,32,58,2015/9/2 19:10,1,60,1,1,1,6,4,0,1,63,0,1,0,0,0,0,0,0,0,165,65,4,5,5,2,1,2,2,4,4,4,1,1,4,4,1,3,3,2,4,5,4,5,1,2,4,4,6,2,3,1,4,4,6,2,5,1,1,2,2,90000,3,3,1,2,0,1,0,0,0,0,0,0,0,0,1,0,3,56,78,6,4,5,1,3,1,1,1,1,5,2,2,4,2,50000,2,2,3,3,5,3,2,2,2,3,1,2,80,80,60,80,60,50,80,60,90,0,2,18
26,3,1,26,76,116,2015/10/17 17:15,2,46,1,1,1,4,4,20000,1,80,0,1,0,0,0,0,0,0,0,156,100,4,4,4,2,1,2,1,2,3,2,1,2,3,2,2,3,3,3,3,5,5,3,2,3,3,3,2,2,2,4,3,3,3,2,1,1,2,2,2,60000,2,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,23,49,4,1,2,1,3,1,2,3,1,2,2,2,3,2,80000,4,4,4,4,4,3,4,4,5,4,4,2,85,85,89,89,89,89,89,89,89,0,0,-3
27,4,1,17,48,80,2015/7/30 10:11,2,50,1,1,1,4,4,19200,1,117,0,0,1,0,0,0,0,0,0,161,126,4,5,3,1,2,3,3,1,5,1,1,1,5,1,2,2,3,3,2,2,5,5,5,3,4,2,2,3,1,4,6,8,4,3,5,1,1,2,2,100000,1,3,2,2,0,0,0,1,0,0,0,0,0,0,2,0,3,28,48,6,1,1,1,12,4,1,1,1,2,2,2,4,2,30000,4,4,3,3,3,3,2,3,3,3,5,3,80,67,70,40,30,40,70,60,70,-2,-2,2
28,3,1,31,88,133,2015/8/19 20:02,2,53,1,1,1,4,4,10000,1,79,0,1,0,0,0,0,0,0,0,158,140,3,3,3,2,1,3,3,1,4,3,3,1,5,3,4,4,3,4,2,4,5,4,3,3,3,1,5,5,6,4,5,3,5,3,5,1,2,2,2,20000,2,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,31,54,5,4,2,1,7,1,1,3,1,1,3,1,4,2,30000,3,3,3,3,4,4,3,3,3,3,2,3,80,80,80,80,80,80,80,80,80,2,0,-1
29,2,1,4,7,19,2015/10/3 18:47,1,24,1,1,1,10,4,40000,2,140,0,0,0,0,0,0,0,0,1,183,135,4,4,3,1,3,1,2,3,3,5,5,4,3,4,3,4,4,2,1,2,5,4,2,4,4,4,7,2,6,2,4,1,7,3,1,1,2,1,2,40000,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,24,4,0,1,3,5,1,9,3,1,5,2,1,2,2,200000,2,2,2,2,4,2,2,2,2,2,2,2,60,40,40,40,50,40,60,80,70,3,3,0
30,4,2,18,53,87,2015/7/15 15:24,1,69,1,1,1,1,1,3000,1,80,0,0,0,1,0,0,0,0,0,168,110,2,2,3,1,1,1,1,3,1,1,1,3,5,3,5,5,5,4,5,5,5,5,5,4,4,1,2,2,3,4,4,3,6,3,3,1,1,2,2,40000,2,2,1,2,0,1,0,0,0,0,0,0,0,2,1,0,3,40,62,1,1,1,3,1,1,2,1,1,2,3,1,4,2,6000,5,4,4,4,5,4,4,4,3,3,2,5,80,79,89,78,80,68,80,80,79,1,2,-7
31,3,1,4,7,21,2015/9/19 15:26,1,37,1,1,2,11,4,80000,1,57,0,0,0,0,1,0,0,0,0,171,146,4,4,3,2,1,1,1,2,5,5,1,1,4,1,5,5,4,3,2,4,4,5,1,2,3,3,6,6,2,4,6,4,8,3,1,1,1,2,2,170000,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,4,29,10,1,2,1,4,1,1,4,1,1,2,1,3,3,120000,4,3,4,4,4,3,3,5,3,3,3,4,50,60,50,60,50,60,50,60,70,2,2,-8
32,3,1,27,80,120,2015/7/29 12:25,2,51,1,1,1,4,2,20000,1,90,0,0,1,0,0,0,0,0,0,175,100,4,4,4,2,3,2,2,2,4,1,1,1,4,4,4,4,4,4,4,3,5,5,5,2,2,2,3,4,2,4,5,3,7,3,1,2,2,2,1,40000,2,4,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,32,53,4,1,2,1,4,1,2,4,1,15,2,1,4,2,60000,4,3,4,3,5,3,3,3,2,3,1,3,60,60,70,70,60,70,60,70,60,2,2,-2
33,3,1,4,7,20,2015/10/1 10:12,1,90,1,1,1,12,4,100000,1,70,0,1,0,0,0,0,0,0,0,170,120,2,2,2,2,1,2,2,1,2,1,1,1,5,4,4,5,4,4,5,4,5,5,5,1,5,1,3,3,1,4,10,10,10,5,5,2,1,2,2,150000,3,4,1,2,0,0,0,1,0,0,0,0,0,2,3,0,3,69,88,3,1,2,5,3,1,2,1,1,2,1,2,3,2,150000,4,4,4,4,4,4,4,4,4,4,3,5,90,85,70,70,70,80,80,85,90,0,0,-2
34,3,1,16,46,77,2015/7/27 19:24,2,29,1,1,1,4,4,150000,1,240,0,0,1,0,0,0,0,0,0,168,98,5,4,4,1,1,3,3,1,4,4,4,2,3,3,2,3,3,3,2,3,4,4,1,3,3,3,3,3,1,3,5,2,9,7,1,1,2,2,2,150000,2,2,0,2,0,1,0,0,0,0,0,0,0,2,0,2,3,11,29,4,1,1,1,3,1,1,2,1,1,2,1,3,2,100000,3,3,4,4,5,5,5,3,3,3,1,2,60,65,60,60,65,60,70,60,65,3,4,0
35,3,2,9,21,43,2015/7/6 9:44,2,79,1,0,3,1,1,660,4,40,0,1,1,0,0,0,0,0,0,150,80,2,3,3,1,1,1,1,4,1,1,1,4,5,5,5,5,4,4,1,4,5,5,5,2,3,1,7,7,1,4,4,5,5,3,4,1,1,2,2,10000,2,2,1,2,0,1,0,0,0,0,0,0,0,3,1,0,3,53,75,4,1,1,3,2,1,2,1,1,2,3,2,3,2,50000,4,4,4,4,4,3,3,4,4,3,2,5,70,80,80,80,80,80,70,80,80,-1,1,4
36,3,1,15,39,70,2015/7/10 19:22,1,59,1,1,1,4,4,20000,1,25,0,0,0,0,0,0,0,0,1,172,150,4,3,3,1,3,2,2,2,5,1,1,4,3,4,5,5,4,4,4,5,5,4,5,3,4,1,2,5,6,4,2,2,3,3,1,1,1,2,2,30000,1,3,1,2,0,1,0,0,0,0,0,0,0,1,1,1,3,34,59,4,1,1,3,2,1,2,1,1,2,2,2,3,2,36000,5,4,4,4,4,3,3,5,4,4,4,3,40,20,20,50,0,30,40,60,30,0,1,0
37,3,1,5,8,23,2015/7/30 11:09,2,47,1,1,1,4,4,60000,1,70,0,0,1,0,0,0,0,0,0,165,105,5,4,4,2,1,3,3,4,3,3,4,2,3,3,2,3,3,2,3,3,4,3,2,3,3,3,3,3,2,2,6,5,6,3,1,1,1,2,2,80000,2,4,1,2,1,0,0,0,0,0,0,0,0,0,1,0,3,23,55,9,1,2,1,3,1,2,3,1,2,2,2,4,2,100000,4,4,4,3,4,4,3,3,4,4,4,4,80,88,80,80,80,70,70,80,98,1,0,-8
38,2,1,26,75,115,2015/8/7 10:27,1,56,1,1,1,6,4,15600,1,24,0,1,0,0,0,0,0,0,0,173,135,4,4,4,2,2,4,2,2,5,1,2,1,5,4,2,5,4,4,2,3,5,5,5,3,3,2,2,3,2,2,4,4,4,2,1,1,1,2,2,15600,1,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,6,0,56,4,0,1,3,3,1,2,3,1,4,3,2,4,2,3000,3,3,3,3,4,2,3,3,3,3,2,4,60,70,70,60,70,70,60,60,60,0,0,0
39,4,1,27,77,117,2015/7/21 16:43,2,45,1,1,1,10,4,0,1,180,0,1,1,0,0,0,0,0,0,160,120,4,5,5,5,2,1,1,1,2,4,1,4,3,3,4,4,2,2,1,1,4,5,1,4,4,3,2,2,2,4,8,5,8,3,5,2,2,1,2,40000,4,3,1,1,0,1,0,0,0,0,0,0,0,1,1,2,3,20,44,3,1,1,4,4,1,16,4,1,2,2,1,4,2,50000,4,5,4,4,5,5,5,3,2,3,1,2,80,80,90,80,70,80,80,90,60,3,0,1
40,3,1,28,81,123,2015/7/29 10:15,2,56,1,1,1,3,4,15000,1,180,0,1,1,1,0,0,0,0,0,160,105,5,4,4,5,1,4,3,2,5,1,4,2,5,3,2,5,3,3,3,4,5,5,5,2,4,4,2,5,2,4,4,1,2,1,1,1,1,2,2,35000,2,3,1,2,0,1,0,0,0,0,0,0,0,0,2,0,3,35,59,6,1,4,1,3,1,2,1,1,2,2,1,4,2,40000,4,4,4,4,5,5,4,4,4,4,2,4,80,80,80,80,70,80,80,80,80,3,-2,-3
41,3,2,2,2,9,2015/7/23 16:43,2,43,8,0,3,4,2,12000,1,300,0,0,1,0,0,0,0,0,0,169,120,4,3,3,1,1,3,3,2,4,2,2,1,5,3,4,4,3,3,3,3,5,2,5,3,3,3,3,3,1,4,6,6,6,6,1,1,1,2,2,35000,4,3,1,2,0,1,0,0,0,0,0,0,0,1,1,1,3,23,48,6,1,2,1,1,1,16,1,1,2,2,2,3,2,20000,5,5,5,5,5,5,5,5,5,5,1,5,70,70,70,70,70,70,70,70,70,0,0,-5
42,3,2,24,70,110,2015/8/3 9:12,1,57,1,1,3,4,4,10000,1,15,0,1,0,0,0,0,0,0,0,160,122,3,3,3,1,1,1,3,1,5,1,4,1,5,3,4,4,4,5,2,5,5,5,5,3,3,2,3,7,4,4,4,2,5,1,3,1,2,2,2,10000,2,2,1,2,0,1,0,0,0,0,0,0,0,1,1,1,7,36,57,4,0,1,3,3,1,2,1,1,2,2,3,3,2,100000,3,2,4,3,4,4,2,2,4,3,1,5,85,90,70,70,70,70,85,90,90,2,1,0
43,3,2,10,28,51,2015/7/28 12:08,2,47,1,1,1,4,4,20000,1,90,0,1,0,0,0,0,0,0,0,162,115,3,3,4,1,1,2,2,1,5,3,1,1,5,2,3,5,4,2,5,5,5,5,3,4,5,1,2,2,2,4,4,3,4,3,2,1,2,2,2,30000,4,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,3,22,47,6,1,1,1,2,1,1,1,1,2,2,2,4,2,50000,4,4,3,3,4,3,2,4,2,3,2,4,70,60,70,70,80,50,70,70,70,1,0,0
44,4,1,4,7,21,2015/9/24 19:21,2,32,1,1,1,4,4,10000,1,56,0,0,1,0,0,0,0,0,0,159,115,3,5,5,2,1,1,1,3,5,3,1,1,5,3,5,3,3,3,2,1,5,5,2,1,5,1,3,3,1,1,5,5,7,5,1,1,2,2,2,20000,4,2,1,2,0,1,0,0,0,0,0,0,0,1,1,2,3,0,32,6,1,2,5,3,1,11,4,1,1,2,1,3,2,50000,3,3,3,3,3,3,3,4,2,3,2,4,100,60,100,100,100,100,100,100,100,0,2,0
45,4,1,29,82,125,2015/7/20 19:37,2,19,1,1,1,6,4,0,2,126,0,0,0,0,1,0,0,0,0,160,112,5,5,5,1,2,1,2,2,4,5,1,1,3,2,4,4,4,3,1,2,3,3,1,4,4,3,3,3,1,1,4,4,9,7,6,2,2,2,2,60000,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,19,4,0,1,3,3,1,8,3,1,15,2,2,2,2,50000,3,3,4,4,4,4,2,3,3,3,2,2,80,80,60,70,60,80,80,90,90,0,5,0
46,3,1,11,31,54,2015/7/19 16:28,2,23,1,1,1,12,1,3000,2,200,0,0,0,0,1,0,0,0,0,167,120,4,3,3,2,1,3,3,2,4,5,2,1,4,3,2,4,4,4,1,2,4,5,1,3,3,4,5,5,6,3,3,2,5,3,6,1,1,2,2,70000,4,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,23,4,0,1,3,12,4,1,6,1,15,2,2,3,2,100000,4,3,3,3,5,4,1,4,3,3,1,4,70,70,65,65,50,80,80,75,80,1,2,0
47,3,2,17,50,83,2015/7/28 9:36,1,23,1,1,1,4,4,55000,2,200,0,0,0,0,1,0,0,0,0,170,125,5,5,4,1,1,2,2,1,3,5,4,1,4,3,4,4,4,2,4,3,5,5,1,3,3,4,6,6,1,4,3,2,9,2,1,1,2,2,2,80000,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,23,4,0,1,3,4,1,12,3,1,12,3,1,2,2,100000,4,2,4,4,4,4,2,3,2,4,1,2,90,80,70,50,70,80,60,70,70,1,6,0
48,3,2,5,8,24,2015/8/6 9:00,2,61,1,1,1,1,1,5000,1,65,0,1,1,0,0,0,0,0,0,160,125,4,4,4,1,1,1,1,1,5,1,1,1,5,4,5,5,3,3,5,3,5,3,5,4,4,2,1,2,3,4,5,5,5,6,2,1,1,2,2,10000,3,3,1,2,0,1,0,0,0,0,0,0,0,2,0,0,3,38,61,1,1,1,2,1,1,2,1,1,15,2,2,3,2,8000,5,5,5,5,5,4,5,4,4,3,3,5,100,100,100,90,90,80,80,95,100,0,0,0
