ID_code,target
test_281,0.004848
test_282,0.890904
test_283,0.025188
test_284,0.916468
test_285,0.879805
test_286,0.001000
test_287,0.072340
test_288,0.840599
test_289,0.043131
test_290,0.197828
test_291,0.008103
test_292,0.071774
test_293,0.054026
test_294,0.014298
test_295,0.052134
test_296,0.131853
test_297,0.966921
test_298,0.012594
test_299,0.022973
test_300,0.134386
test_301,0.013711
test_302,0.092224
test_303,0.048383
test_304,0.039469
test_305,0.902644
test_306,0.051572
test_307,0.243898
test_308,0.059347
test_309,0.858255
test_310,0.206793
test_311,0.004685
test_312,0.890267
test_313,0.060944
test_314,0.101597
test_315,0.923743
test_316,0.004325
test_317,0.908547
test_318,0.010503
test_319,0.034288
test_320,0.028349
test_321,0.059147
test_322,0.072090
test_323,0.908140
test_324,0.067378
test_325,0.088513
test_326,0.004369
test_327,0.004735
test_328,0.010014
test_329,0.902146
test_330,0.013678
test_331,0.035393
test_332,0.232563
test_333,0.053674
test_334,0.126238
test_335,0.037779
test_336,0.915069
test_337,0.007872
test_338,0.123626
test_339,0.852103
test_340,0.086303
test_341,0.844966
test_342,0.044440
test_343,0.016881
test_344,0.012318
test_345,0.783688
test_346,0.847955
test_347,0.073179
test_348,0.012356
test_349,0.811542
test_350,0.013215
test_351,0.069337
test_352,0.061035
test_353,0.041198
test_354,0.003941
test_355,0.974072
test_356,0.046389
test_357,0.843465
test_358,0.044835
test_359,0.028648
test_360,0.018172
test_361,0.939931
test_362,0.224844
test_363,0.024968
test_364,0.001206
test_365,0.012974
test_366,0.023037
test_367,0.110729
test_368,0.069213
test_369,0.044616
test_370,0.011235
test_371,0.285804
test_372,0.009414
test_373,0.151390
test_374,0.056645
test_375,0.928519
test_376,0.072134
test_377,0.085660
test_378,0.052504
test_379,0.060570
test_380,0.018175
test_381,0.007650
test_382,0.879712
test_383,0.912543
test_384,0.138976
test_385,0.027640
test_386,0.044451
test_387,0.044159
test_388,0.091433
test_389,0.026807
test_390,0.060200
test_391,0.076097
test_392,0.063898
test_393,0.127242
test_394,0.818857
test_395,0.054108
test_396,0.124271
test_397,0.009901
test_398,0.026588
test_399,0.009299
test_400,0.079087
test_401,0.040482
test_402,0.027010
test_403,0.028630
test_404,0.994449
test_405,0.046946
test_406,0.010614
test_407,0.014640
test_408,0.041253
test_409,0.179519
test_410,0.000171
test_411,0.023653
test_412,0.073050
test_413,0.970916
test_414,0.043458
test_415,0.864505
test_416,0.960932
test_417,0.003780
test_418,0.015897
test_419,0.008566
test_420,0.833292
test_421,0.006164
test_422,0.136285
test_423,0.053072
test_424,0.231243
test_425,0.021655
test_426,0.211560
test_427,0.041362
test_428,0.046284
test_429,0.013123
test_430,0.003966
test_431,0.968288
test_432,0.009416
test_433,0.054348
test_434,0.894674
test_435,0.001287
test_436,0.098800
test_437,0.048199
test_438,0.106274
test_439,0.028833
test_440,0.114033
test_441,0.090061
test_442,0.884755
test_443,0.021312
test_444,0.109683
test_445,0.110448
test_446,0.003837
test_447,0.009665
test_448,0.149981
test_449,0.828902
test_450,0.049714
test_451,0.192390
test_452,0.974683
test_453,0.046855
test_454,0.871231
test_455,0.003854
test_456,0.012999
test_457,0.077196
test_458,0.034408
test_459,0.897787
test_460,0.098043
test_461,0.024623
test_462,0.138200
test_463,0.089465
test_464,0.003319
test_465,0.194335
test_466,0.034439
test_467,0.067597
test_468,0.043489
test_469,0.005957
test_470,0.032052
test_471,0.070928
test_472,0.051824
test_473,0.238300
test_474,0.931190
test_475,0.705001
test_476,0.010987
test_477,0.005271
test_478,0.908668
test_479,0.036743
test_480,0.004666
test_481,0.852810
test_482,0.048403
test_483,0.028352
test_484,0.218363
test_485,0.000705
test_486,0.115287
test_487,0.008235
test_488,0.161940
test_489,0.123565
test_490,0.026792
test_491,0.989162
test_492,0.014780
test_493,0.188495
test_494,0.014099
test_495,0.001376
test_496,0.015124
test_497,0.819573
test_498,0.105097
test_499,0.025766
test_500,0.124748
test_501,0.012469
test_502,0.004653
test_503,0.828312
test_504,0.008299
test_505,0.906720
test_506,0.027912
test_507,0.086004
test_508,0.923080
test_509,0.017859
test_510,0.029038
test_511,0.134442
test_512,0.143943
test_513,0.005084
test_514,0.040609
test_515,0.003724
test_516,0.028108
test_517,0.012337
test_518,0.157374
test_519,0.063048
test_520,0.089775
test_521,0.103282
test_522,0.907108
test_523,0.134309
test_524,0.011166
test_525,0.011346
test_526,0.020764
test_527,0.160370
test_528,0.009121
test_529,0.953922
test_530,0.015205
test_531,0.035840
test_532,0.009217
test_533,0.074581
test_534,0.870231
test_535,0.013041
test_536,0.030293
test_537,0.035886
test_538,0.003246
test_539,0.055374
test_540,0.988997
test_541,0.052276
test_542,0.004600
test_543,0.003104
test_544,0.020521
test_545,0.152709
test_546,0.126459
test_547,0.903244
test_548,0.014216
test_549,0.839932
test_550,0.002304
test_551,0.007286
test_552,0.861037
test_553,0.098344
test_554,0.097790
test_555,0.009249
test_556,0.077679
test_557,0.935919
test_558,0.213954
test_559,0.756344
test_560,0.014424
test_561,0.806334
test_562,0.035385
test_563,0.001779
test_564,0.925832
test_565,0.864028
test_566,0.064689
test_567,0.114265
test_568,0.970333
test_569,0.035093
test_570,0.953154
test_571,0.035412
test_572,0.028479
test_573,0.193468
test_574,0.024639
test_575,0.120632
test_576,0.100577
test_577,0.020286
test_578,0.063682
test_579,0.835845
test_580,0.859931
test_581,0.110797
test_582,0.778721
test_583,0.082746
test_584,0.076328
test_585,0.021175
test_586,0.012145
test_587,0.050471
test_588,0.231587
test_589,0.005623
test_590,0.093076
test_591,0.801118
test_592,0.068376
test_593,0.016477
test_594,0.007307
test_595,0.139449
test_596,0.005271
test_597,0.028761
test_598,0.025069
test_599,0.019373
test_600,0.082362
test_601,0.910451
test_602,0.964219
test_603,0.014264
test_604,0.069076
test_605,0.031541
test_606,0.089081
test_607,0.014803
test_608,0.029722
test_609,0.052357
test_610,0.959704
test_611,0.880080
test_612,0.099308
test_613,0.021334
test_614,0.056193
test_615,0.058555
test_616,0.943279
test_617,0.200570
test_618,0.033565
test_619,0.117209
test_620,0.066854
test_621,0.063153
test_622,0.026439
test_623,0.010471
test_624,0.060815
test_625,0.019910
test_626,0.909360
test_627,0.066779
test_628,0.004150
test_629,0.154868
test_630,0.013876
test_631,0.125782
test_632,0.134281
test_633,0.001258
test_634,0.022798
test_635,0.118870
test_636,0.173348
test_637,0.034329
test_638,0.130954
test_639,0.061567
test_640,0.008976
test_641,0.097774
test_642,0.068460
test_643,0.009855
test_644,0.007289
test_645,0.001028
test_646,0.006612
test_647,0.071500
test_648,0.661079
test_649,0.050404
test_650,0.075046
test_651,0.004574
test_652,0.843264
test_653,0.137679
test_654,0.185058
test_655,0.028681
test_656,0.953920
test_657,0.016382
test_658,0.071296
test_659,0.099107
test_660,0.023088
test_661,0.013973
test_662,0.113493
test_663,0.040113
test_664,0.090599
test_665,0.937952
test_666,0.058647
test_667,0.016390
test_668,0.859115
test_669,0.039789
test_670,0.957625
test_671,0.126991
test_672,0.029255
test_673,0.078540
test_674,0.033536
test_675,0.001833
test_676,0.017051
test_677,0.012345
test_678,0.051100
test_679,0.055898
test_680,0.006530
test_681,0.007555
test_682,0.002879
test_683,0.036679
test_684,0.924828
test_685,0.042058
test_686,0.790240
test_687,0.072091
test_688,0.974108
test_689,0.008287
test_690,0.040759
test_691,0.023187
test_692,0.047784
test_693,0.935219
test_694,0.062633
test_695,0.159468
test_696,0.978409
test_697,0.005761
test_698,0.010307
test_699,0.004646
test_700,0.765577
test_701,0.003602
test_702,0.001553
test_703,0.016735
test_704,0.025350
test_705,0.026308
test_706,0.029165
test_707,0.854194
test_708,0.224802
test_709,0.162767
test_710,0.106204
test_711,0.161922
test_712,0.051851
test_713,0.017011
test_714,0.009122
test_715,0.043317
test_716,0.964285
test_717,0.796200
test_718,0.159301
test_719,0.076293
test_720,0.818698
test_721,0.003549
test_722,0.033847
test_723,0.009032
test_724,0.890068
test_725,0.112068
test_726,0.008180
test_727,0.007512
test_728,0.194525
test_729,0.085995
test_730,0.045073
test_731,0.101085
test_732,0.052589
test_733,0.066587
test_734,0.036461
test_735,0.152715
test_736,0.019468
test_737,0.208731
test_738,0.044081
test_739,0.032831
test_740,0.042588
test_741,0.013291
test_742,0.036474
test_743,0.086467
test_744,0.177519
test_745,0.009900
test_746,0.082980
test_747,0.021140
test_748,0.023675
test_749,0.071525
test_750,0.074467
test_751,0.854505
test_752,0.119245
test_753,0.047613
test_754,0.133460
test_755,0.066156
test_756,0.057634
test_757,0.953394
test_758,0.094326
test_759,0.007036
test_760,0.977711
test_761,0.008835
test_762,0.128359
test_763,0.020862
test_764,0.046026
test_765,0.015557
test_766,0.011047
test_767,0.877833
test_768,0.003222
test_769,0.014828
test_770,0.029648
test_771,0.012213
test_772,0.180310
test_773,0.878438
test_774,0.972554
test_775,0.047731
test_776,0.013906
test_777,0.011345
test_778,0.041127
test_779,0.169217
test_780,0.029294
test_781,0.011994
test_782,0.015439
test_783,0.838290
test_784,0.930511
test_785,0.193438
test_786,0.920837
test_787,0.081984
test_788,0.034627
test_789,0.009657
test_790,0.018619
test_791,0.000916
test_792,0.019508
test_793,0.001428
test_794,0.056415
test_795,0.058724
test_796,0.066975
test_797,0.864811
test_798,0.946366
test_799,0.027162
test_800,0.011099
test_801,0.847527
test_802,0.837700
test_803,0.023131
test_804,0.157690
test_805,0.975491
test_806,0.017386
test_807,0.012048
test_808,0.001468
test_809,0.086636
test_810,0.057600
test_811,0.843905
test_812,0.069510
test_813,0.022166
test_814,0.088315
test_815,0.006184
test_816,0.913650
test_817,0.045580
test_818,0.026247
test_819,0.009430
test_820,0.704628
test_821,0.003217
test_822,0.103193
test_823,0.059222
test_824,0.003179
test_825,0.002063
test_826,0.858854
test_827,0.029576
test_828,0.111233
test_829,0.023836
test_830,0.039110
test_831,0.953092
test_832,0.972786
test_833,0.075587
test_834,0.933637
test_835,0.934903
test_836,0.958667
test_837,0.002195
test_838,0.011046
test_839,0.803318
test_840,0.131078
test_841,0.164472
test_842,0.043238
test_843,0.062999
test_844,0.905632
test_845,0.140836
test_846,0.888390
test_847,0.039583
test_848,0.077268
test_849,0.098229
test_850,0.860126
test_851,0.946861
test_852,0.066500
test_853,0.017707
test_854,0.029398
test_855,0.060597
test_856,0.008999
test_857,0.058039
test_858,0.189068
test_859,0.045707
test_860,0.010998
test_861,0.874696
test_862,0.002737
test_863,0.064762
test_864,0.983775
test_865,0.075272
test_866,0.844607
test_867,0.039580
test_868,0.017415
test_869,0.020877
test_870,0.929423
test_871,0.024379
test_872,0.005432
test_873,0.049840
test_874,0.088095
test_875,0.000618
test_876,0.071025
test_877,0.030468
test_878,0.130893
test_879,0.121246
test_880,0.071957
test_881,0.822564
test_882,0.040346
test_883,0.899187
test_884,0.009946
test_885,0.023355
test_886,0.024238
test_887,0.000164
test_888,0.065942
test_889,0.800549
test_890,0.014170
test_891,0.948551
test_892,0.112408
test_893,0.010752
test_894,0.061545
test_895,0.056288
test_896,0.957601
test_897,0.770899
test_898,0.011800
test_899,0.871424
test_900,0.004825
test_901,0.827369
test_902,0.069827
test_903,0.062318
test_904,0.955438
test_905,0.072553
test_906,0.093128
test_907,0.001442
test_908,0.071355
test_909,0.057298
test_910,0.002040
test_911,0.043997
test_912,0.042613
test_913,0.064733
test_914,0.014429
test_915,0.001768
test_916,0.083260
test_917,0.004098
test_918,0.109913
test_919,0.957351
test_920,0.059311
test_921,0.117294
test_922,0.069353
test_923,0.916040
test_924,0.027934
test_925,0.181526
test_926,0.087111
test_927,0.001953
test_928,0.031698
test_929,0.871532
test_930,0.099201
test_931,0.947482
test_932,0.103833
test_933,0.133125
test_934,0.002809
test_935,0.936625
test_936,0.015589
test_937,0.852198
test_938,0.111347
test_939,0.952172
test_940,0.031759
test_941,0.862391
test_942,0.034003
test_943,0.004022
test_944,0.020979
test_945,0.023989
test_946,0.958487
test_947,0.002002
test_948,0.020892
test_949,0.156062
test_950,0.001110
test_951,0.099247
test_952,0.002909
test_953,0.016343
test_954,0.128563
test_955,0.012040
test_956,0.034612
test_957,0.005213
test_958,0.170641
test_959,0.836045
test_960,0.132457
test_961,0.795452
test_962,0.111488
test_963,0.001519
test_964,0.032609
test_965,0.062467
test_966,0.002949
test_967,0.007585
test_968,0.011057
test_969,0.156099
test_970,0.076535
test_971,0.903404
test_972,0.105228
test_973,0.014547
test_974,0.051828
test_975,0.887558
test_976,0.029048
test_977,0.991366
test_978,0.005846
test_979,0.030124
test_980,0.159318
test_981,0.010194
test_982,0.845702
test_983,0.019711
test_984,0.009091
test_985,0.015692
test_986,0.966161
test_987,0.256735
test_988,0.005204
test_989,0.211842
test_990,0.091598
test_991,0.017516
test_992,0.974581
test_993,0.190536
test_994,0.013100
test_995,0.083192
test_996,0.013550
test_997,0.902269
test_998,0.160681
test_999,0.081674
test_1000,0.028050
test_1001,0.023114
test_1002,0.003140
test_1003,0.245150
test_1004,0.028472
test_1005,0.008725
test_1006,0.020679
test_1007,0.094396
test_1008,0.128228
test_1009,0.132404
test_1010,0.031340
test_1011,0.900302
test_1012,0.002127
test_1013,0.662042
test_1014,0.132329
test_1015,0.023942
test_1016,0.046671
test_1017,0.103988
test_1018,0.031812
test_1019,0.000838
test_1020,0.032702
test_1021,0.977037
test_1022,0.013817
test_1023,0.019586
test_1024,0.016537
test_1025,0.000683
test_1026,0.001634
test_1027,0.118889
test_1028,0.065014
test_1029,0.047642
test_1030,0.882672
test_1031,0.004976
test_1032,0.016036
test_1033,0.074423
test_1034,0.098501
test_1035,0.055866
test_1036,0.050716
test_1037,0.060642
test_1038,0.955639
test_1039,0.049415
test_1040,0.920158
test_1041,0.012626
test_1042,0.041717
test_1043,0.300489
test_1044,0.169918
test_1045,0.923137
test_1046,0.176286
test_1047,0.065648
test_1048,0.001822
test_1049,0.971412
test_1050,0.946762
test_1051,0.048805
test_1052,0.030818
test_1053,0.051759
test_1054,0.918919
test_1055,0.959349
test_1056,0.957795
test_1057,0.013544
test_1058,0.004736
test_1059,0.046745
test_1060,0.931076
test_1061,0.031518
test_1062,0.021105
test_1063,0.868505
test_1064,0.014528
test_1065,0.048330
test_1066,0.191668
test_1067,0.028704
test_1068,0.036864
test_1069,0.059487
test_1070,0.068506
test_1071,0.963591
test_1072,0.003496
test_1073,0.176240
test_1074,0.032207
test_1075,0.009350
test_1076,0.044337
test_1077,0.862965
test_1078,0.005264
test_1079,0.017194
test_1080,0.079928
test_1081,0.016104
test_1082,0.023789
test_1083,0.006076
test_1084,0.957179
test_1085,0.030400
test_1086,0.017469
test_1087,0.182746
test_1088,0.048434
test_1089,0.969014
test_1090,0.047705
test_1091,0.180248
test_1092,0.100313
test_1093,0.098887
test_1094,0.088854
test_1095,0.949044
test_1096,0.018136
test_1097,0.090303
test_1098,0.047592
test_1099,0.090302
test_1100,0.014534
test_1101,0.877882
test_1102,0.003108
test_1103,0.963486
test_1104,0.010702
test_1105,0.023756
test_1106,0.007570
test_1107,0.017497
test_1108,0.002472
test_1109,0.937542
test_1110,0.008979
test_1111,0.940742
test_1112,0.008902
test_1113,0.002198
test_1114,0.028376
test_1115,0.171623
test_1116,0.076664
test_1117,0.008437
test_1118,0.001346
test_1119,0.040259
test_1120,0.095109
test_1121,0.034063
test_1122,0.120970
test_1123,0.121955
test_1124,0.028349
test_1125,0.035450
test_1126,0.017878
test_1127,0.001698
test_1128,0.038258
test_1129,0.898334
test_1130,0.134427
test_1131,0.101986
test_1132,0.996657
test_1133,0.033786
test_1134,0.260725
test_1135,0.834540
test_1136,0.007623
test_1137,0.023816
test_1138,0.009728
test_1139,0.018138
test_1140,0.005816
test_1141,0.269034
test_1142,0.004871
test_1143,0.005213
test_1144,0.037274
test_1145,0.102348
test_1146,0.026606
test_1147,0.044096
test_1148,0.952385
test_1149,0.027303
test_1150,0.823140
test_1151,0.953513
test_1152,0.980834
test_1153,0.095680
test_1154,0.134509
test_1155,0.025141
test_1156,0.024519
test_1157,0.098305
test_1158,0.851558
test_1159,0.087863
test_1160,0.099423
test_1161,0.027402
test_1162,0.051489
test_1163,0.092216
test_1164,0.040893
test_1165,0.911189
test_1166,0.068134
test_1167,0.085100
test_1168,0.033211
test_1169,0.003885
test_1170,0.013175
test_1171,0.033726
test_1172,0.020515
test_1173,0.002881
test_1174,0.919631
test_1175,0.030963
test_1176,0.055836
test_1177,0.025251
test_1178,0.010151
test_1179,0.004683
test_1180,0.855837
test_1181,0.044546
test_1182,0.812732
test_1183,0.040072
test_1184,0.046059
test_1185,0.205783
test_1186,0.891673
test_1187,0.955590
test_1188,0.037660
test_1189,0.031988
test_1190,0.015593
test_1191,0.079148
test_1192,0.114676
test_1193,0.013069
test_1194,0.920934
test_1195,0.090217
test_1196,0.020712
test_1197,0.034596
test_1198,0.007358
test_1199,0.118594
test_1200,0.133300
test_1201,0.012737
test_1202,0.102305
test_1203,0.871606
test_1204,0.036925
test_1205,0.006468
test_1206,0.009361
test_1207,0.030723
test_1208,0.030130
test_1209,0.136702
test_1210,0.896937
test_1211,0.173206
test_1212,0.949414
test_1213,0.120949
test_1214,0.055452
test_1215,0.064166
test_1216,0.164567
test_1217,0.157739
test_1218,0.107023
test_1219,0.881776
test_1220,0.082111
test_1221,0.239623
test_1222,0.874166
test_1223,0.895685
test_1224,0.151769
test_1225,0.775872
test_1226,0.051098
test_1227,0.006980
test_1228,0.883847
test_1229,0.974802
test_1230,0.888009
test_1231,0.022738
test_1232,0.004676
test_1233,0.014187
test_1234,0.007564
test_1235,0.109876
test_1236,0.107256
test_1237,0.944077
test_1238,0.036688
test_1239,0.080043
test_1240,0.017871
test_1241,0.874186
test_1242,0.151620
test_1243,0.055918
test_1244,0.251877
test_1245,0.036837
test_1246,0.096152
test_1247,0.823646
test_1248,0.005510
test_1249,0.054123
test_1250,0.893873
test_1251,0.003794
test_1252,0.024029
test_1253,0.069951
test_1254,0.005221
test_1255,0.000668
test_1256,0.929771
test_1257,0.033174
test_1258,0.031102
test_1259,0.034379
test_1260,0.031050
test_1261,0.010704
test_1262,0.958041
test_1263,0.167029
test_1264,0.002464
test_1265,0.065249
test_1266,0.932123
test_1267,0.004028
test_1268,0.861983
test_1269,0.013382
test_1270,0.042773
test_1271,0.016011
test_1272,0.903181
test_1273,0.924835
test_1274,0.070818
test_1275,0.025795
test_1276,0.000200
test_1277,0.070673
test_1278,0.120796
test_1279,0.004416
test_1280,0.012130
test_1281,0.007288
test_1282,0.021402
test_1283,0.948343
test_1284,0.073760
test_1285,0.209974
test_1286,0.904454
test_1287,0.230982
test_1288,0.008447
test_1289,0.020389
test_1290,0.027289
test_1291,0.012873
test_1292,0.029466
test_1293,0.003905
test_1294,0.016746
test_1295,0.013628
test_1296,0.095346
test_1297,0.001045
test_1298,0.004768
test_1299,0.016695
test_1300,0.038554
test_1301,0.105474
test_1302,0.005550
test_1303,0.044834
test_1304,0.875692
test_1305,0.810827
test_1306,0.068462
test_1307,0.053195
test_1308,0.961416
test_1309,0.079315
test_1310,0.003719
test_1311,0.119475
test_1312,0.154973
test_1313,0.073718
test_1314,0.079507
test_1315,0.087378
test_1316,0.961728
test_1317,0.019894
test_1318,0.059986
test_1319,0.005102
test_1320,0.905943
test_1321,0.883923
test_1322,0.007893
test_1323,0.009306
test_1324,0.014888
test_1325,0.101137
test_1326,0.795776
test_1327,0.132390
test_1328,0.133445
test_1329,0.121415
test_1330,0.076128
test_1331,0.013849
test_1332,0.066849
test_1333,0.001600
test_1334,0.048548
test_1335,0.064979
test_1336,0.077762
test_1337,0.042688
test_1338,0.088448
test_1339,0.018686
test_1340,0.194034
test_1341,0.920247
test_1342,0.111450
test_1343,0.808331
test_1344,0.974803
test_1345,0.058980
test_1346,0.008985
test_1347,0.006192
test_1348,0.065647
test_1349,0.006582
test_1350,0.900759
test_1351,0.934720
test_1352,0.015711
test_1353,0.102641
test_1354,0.062785
test_1355,0.167347
test_1356,0.933093
test_1357,0.963401
test_1358,0.033815
test_1359,0.938791
test_1360,0.161672
test_1361,0.920954
test_1362,0.114660
test_1363,0.036622
test_1364,0.089750
test_1365,0.016281
test_1366,0.036460
test_1367,0.014442
test_1368,0.041767
test_1369,0.214135
test_1370,0.038291
test_1371,0.126537
test_1372,0.856560
test_1373,0.004375
test_1374,0.140407
test_1375,0.069905
test_1376,0.250593
test_1377,0.002873
test_1378,0.262054
test_1379,0.907774
test_1380,0.941647
test_1381,0.082637
test_1382,0.010887
test_1383,0.050024
test_1384,0.044825
test_1385,0.106131
test_1386,0.059649
test_1387,0.183536
test_1388,0.129695
test_1389,0.018787
test_1390,0.071228
test_1391,0.028669
test_1392,0.006588
test_1393,0.950693
test_1394,0.180417
test_1395,0.052821
test_1396,0.048765
test_1397,0.959927
test_1398,0.007864
test_1399,0.040625
test_1400,0.931334
test_1401,0.043986
test_1402,0.049340
test_1403,0.078218
test_1404,0.021861
test_1405,0.106089
test_1406,0.753073
test_1407,0.918522
test_1408,0.035303
test_1409,0.193099
test_1410,0.846110
test_1411,0.170278
test_1412,0.012907
test_1413,0.003780
test_1414,0.909264
test_1415,0.014875
test_1416,0.110244
test_1417,0.076046
test_1418,0.002924
test_1419,0.239594
test_1420,0.005612
test_1421,0.918869
test_1422,0.058124
test_1423,0.931211
test_1424,0.139350
test_1425,0.014280
test_1426,0.138602
test_1427,0.024344
test_1428,0.016260
test_1429,0.981649
test_1430,0.012044
test_1431,0.069575
test_1432,0.015847
test_1433,0.894271
test_1434,0.018509
test_1435,0.012167
test_1436,0.006447
test_1437,0.002686
test_1438,0.790998
test_1439,0.970428
test_1440,0.097353
test_1441,0.841072
test_1442,0.024529
test_1443,0.002291
test_1444,0.006124
test_1445,0.091219
test_1446,0.012614
test_1447,0.945337
test_1448,0.007397
test_1449,0.123689
test_1450,0.053509
test_1451,0.014755
test_1452,0.925029
test_1453,0.851452
test_1454,0.013728
test_1455,0.824705
test_1456,0.831849
test_1457,0.884589
test_1458,0.312403
test_1459,0.007511
test_1460,0.921530
test_1461,0.001916
test_1462,0.868081
test_1463,0.034528
test_1464,0.954212
test_1465,0.088764
test_1466,0.956964
test_1467,0.086479
test_1468,0.992823
test_1469,0.070867
test_1470,0.041728
test_1471,0.015152
test_1472,0.055398
test_1473,0.860395
test_1474,0.006557
test_1475,0.837513
test_1476,0.896785
test_1477,0.040139
test_1478,0.919014
test_1479,0.010358
test_1480,0.109106
test_1481,0.047734
test_1482,0.003928
test_1483,0.043519
test_1484,0.019944
test_1485,0.005109
test_1486,0.121170
test_1487,0.064184
test_1488,0.803285
test_1489,0.135518
test_1490,0.008484
test_1491,0.030038
test_1492,0.067857
test_1493,0.040534
test_1494,0.981318
test_1495,0.021107
test_1496,0.013228
test_1497,0.088443
